#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3297.1630859375,303.3912121501615
60000,-3308.173583984375,294.2718395302494
90000,-3221.2763671875,294.2392333796241
120000,-3269.56982421875,291.47457400505266
150000,-3322.023193359375,294.31882765241096
180000,-3320.042236328125,288.4019137375247
210000,-3281.35986328125,299.71852861530397
240000,-3374.548828125,278.1119552633041
270000,-3296.365234375,275.7352916249551
300000,-3314.42724609375,282.8281510680237
330000,-3278.39453125,340.08693361389675
360000,-3272.81396484375,299.19072093288315
390000,-3338.182373046875,330.8964882860723
420000,-3286.619384765625,279.27772957101644
450000,-3388.125732421875,288.4486357909551
480000,-3350.854736328125,294.7560729685119
510000,-3346.635986328125,325.2519877656288
540000,-3329.468017578125,287.42822366877897
570000,-3218.4658203125,287.9239390308511
600000,-3344.81494140625,291.54786209136785
630000,-3235.59912109375,304.3232767612884
660000,-3386.64501953125,356.8892898456244
690000,-3337.4814453125,305.68131377813677
720000,-3314.257080078125,289.3041401201361
750000,-3272.603515625,284.824512857951
780000,-3313.35693359375,317.82094446866813
810000,-3258.20166015625,264.0156861494088
840000,-3338.224609375,308.79708082205354
870000,-3288.471435546875,336.7002317660207
900000,-3281.1943359375,308.6985919266278
930000,-3287.225341796875,283.8457516742672
960000,-3323.9677734375,275.18187036114654
990000,-3205.87060546875,293.01210511737895
1020000,-3280.4677734375,306.78060127288074
1050000,-3296.429443359375,306.7992410924978
1080000,-3242.420166015625,324.78915789709185
1110000,-3282.8935546875,329.34183685503535
1140000,-3343.815185546875,322.8015786334964
1170000,-3270.975341796875,313.9211311590517
1200000,-3291.89501953125,258.95338814369416
1230000,-3317.735595703125,297.50934998907974
1260000,-3404.05712890625,341.80431373439177
1290000,-3363.9375,297.2734311492419
1320000,-3332.01904296875,323.62199712691927
1350000,-3320.28515625,314.86175766521535
1380000,-3367.31494140625,263.76347350455626
1410000,-3269.788330078125,272.6784090743714
1440000,-3256.439697265625,284.4883608229732
1470000,-3347.6181640625,286.50631896466984
1500000,-3320.8427734375,294.5123647753305
1530000,-3309.380615234375,290.78549846531166
1560000,-3267.8095703125,299.6692725280991
1590000,-3356.55224609375,287.3007618596965
1620000,-3301.973388671875,322.75082734411
1650000,-3316.4306640625,325.31724134618815
1680000,-3347.99609375,290.0020389374887
1710000,-3315.076904296875,284.8840666375771
1740000,-3343.647705078125,315.44861623951164
1770000,-3256.395751953125,271.93276139791993
1800000,-3259.56494140625,288.6261712134257
1830000,-3308.588134765625,296.85006490876566
1860000,-3288.994140625,296.30204358125536
1890000,-3231.209716796875,283.1682007805435
1920000,-3282.158447265625,307.5228233318624
1950000,-3309.625244140625,279.7162657461107
1980000,-3327.353759765625,290.0137736044354
2010000,-3254.65185546875,289.6356283436383
2040000,-3259.521728515625,312.9036825990784
2070000,-3330.3515625,311.5716352060426
2100000,-3285.393798828125,294.1054139922283
2130000,-3314.1572265625,289.77228520078137
2160000,-3306.40283203125,322.2124277534019
2190000,-3398.97998046875,287.8666412087066
2220000,-3331.8408203125,344.8296101409297
2250000,-3273.240966796875,256.02487356259337
2280000,-3311.178466796875,301.121430392942
2310000,-3288.91064453125,285.2212638682453
2340000,-3292.18798828125,284.96621396869295
2370000,-3350.416015625,276.61903560387583
2400000,-3270.30908203125,320.1889398655285
2430000,-3303.13525390625,291.96061194814223
2460000,-3305.52783203125,278.99630446683364
2490000,-3276.72705078125,278.44035400842944
2520000,-3310.19970703125,283.94426886944217
2550000,-3251.1875,341.7306907503009
2580000,-3279.978271484375,305.9894687597018
2610000,-3306.6708984375,340.42640077563925
2640000,-3324.88916015625,311.8912057148161
2670000,-3382.650146484375,306.80379737822926
2700000,-3380.60888671875,309.7235194502282
2730000,-3334.191650390625,265.65860939562367
2760000,-3285.420654296875,292.3796475125093
2790000,-3362.254638671875,267.0495373719656
2820000,-3292.439453125,293.7390511948065
2850000,-3208.531494140625,316.0459921875616
2880000,-3251.478515625,284.038554855483
2910000,-3360.283203125,317.40718281180085
2940000,-3276.775390625,288.31092140288814
2970000,-3297.8564453125,304.14681889363413
3000000,-3316.233642578125,300.92457471963763
3030000,-3264.57666015625,333.17637732041504
3060000,-3358.6328125,317.43650544232554
3090000,-3298.142578125,316.0340747058348
3120000,-3233.851806640625,276.83968347272344
3150000,-3297.3466796875,288.3523152768924
3180000,-3393.758056640625,299.9744745011066
3210000,-3276.01025390625,304.9551649504112
3240000,-3344.726318359375,307.45000268434444
3270000,-3262.24365234375,311.26148092546487
3300000,-3353.1767578125,311.70607407197696
3330000,-3330.15234375,290.2399660479375
3360000,-3273.43505859375,289.44276024054875
3390000,-3377.45751953125,283.010574192641
3420000,-3405.90625,305.3953819727684
3450000,-3340.015625,319.3937698507383
3480000,-3294.4013671875,295.1544620785618
3510000,-3275.65869140625,290.55970002252917
3540000,-3340.76123046875,340.3806837566737
3570000,-3355.11767578125,265.3330418479614
3600000,-3288.140625,304.5334312470222
3630000,-3348.911865234375,320.52204497336
3660000,-3311.176025390625,272.2798206223117
3690000,-3332.574462890625,329.37251033992374
3720000,-3309.179931640625,306.11084204864676
3750000,-3271.762939453125,321.1299228966265
3780000,-3277.42919921875,303.398554970417
3810000,-3272.61083984375,279.0675167115412
3840000,-3386.3193359375,294.55158697901135
3870000,-3318.4833984375,312.7270666034336
3900000,-3306.23193359375,299.7433417743264
3930000,-3312.969970703125,333.83886442643154
3960000,-3329.605224609375,319.121924430368
3990000,-3280.1337890625,258.89448843626707
4020000,-3258.107666015625,317.51104293081937
4050000,-3352.73046875,273.3886153372368
4080000,-3265.46875,304.7278311752341
4110000,-3277.049072265625,284.9403957882636
4140000,-3321.898193359375,291.3987238104627
4170000,-3288.1513671875,358.37438848057155
4200000,-3346.27783203125,295.246196399389
4230000,-3292.91650390625,297.5284063983716
4260000,-3287.34326171875,277.4775376367901
4290000,-3299.16748046875,294.2334904957586
4320000,-3293.9921875,296.9946242468384
4350000,-3302.2822265625,331.01301932764926
4380000,-3348.72021484375,294.87730821579186
4410000,-3303.196044921875,334.8566030270051
4440000,-3234.63330078125,299.88722033188344
4470000,-3301.57080078125,275.45901013117026
4500000,-3341.324951171875,360.82894536222483
4530000,-3368.778076171875,314.11170109905555
4560000,-3272.12060546875,268.54374499316395
4590000,-3234.828369140625,308.91793662614003
4620000,-3334.11181640625,316.07830086110846
4650000,-3339.79296875,304.9027209677917
4680000,-3294.1806640625,301.96617992950246
