#"Step","Potential Energy (kJ/mole)","Temperature (K)"
30000,-3268.14208984375,288.4012638716041
60000,-3271.173583984375,293.2181997141278
90000,-3284.67529296875,291.6376319153613
120000,-3325.763427734375,320.51704568833674
150000,-3389.22900390625,245.12238148911482
180000,-3319.14013671875,335.15644025028536
210000,-3300.149169921875,308.08862025283395
240000,-3309.322509765625,294.0703320864921
270000,-3277.406005859375,297.5808853500663
300000,-3332.862060546875,349.41701773721485
330000,-3246.899658203125,275.6360905361778
360000,-3269.66259765625,315.30541991679473
390000,-3321.601318359375,278.75609604901695
420000,-3312.240234375,325.0764816529139
450000,-3317.69384765625,304.67845446234793
480000,-3354.83642578125,291.5495223324373
510000,-3316.18017578125,296.2218202658291
540000,-3358.547607421875,280.5025656478409
570000,-3250.886962890625,301.36640325911617
600000,-3248.52587890625,287.5821329780026
630000,-3325.8388671875,298.388652292744
660000,-3236.93505859375,311.9160511578816
690000,-3220.1064453125,279.32405364147354
720000,-3308.8662109375,309.9134442214855
750000,-3322.537353515625,304.9316501803059
780000,-3314.718994140625,293.27698470620885
810000,-3292.5849609375,283.29227710522554
840000,-3332.678466796875,303.00784315891303
870000,-3274.228759765625,291.7852181726022
900000,-3281.6201171875,321.9060212015222
930000,-3332.11279296875,300.13850940892127
960000,-3342.18994140625,312.18011909454606
990000,-3298.53759765625,285.63519595528373
1020000,-3263.1474609375,277.5686671937079
1050000,-3268.70068359375,295.8091004193897
1080000,-3316.65625,285.39409229470124
1110000,-3247.4033203125,290.98348196800697
1140000,-3261.065673828125,315.1704265305129
1170000,-3361.93408203125,263.80061023479055
1200000,-3219.096923828125,308.09051907165957
1230000,-3304.849365234375,285.5070737229628
1260000,-3347.44140625,334.42595672175867
1290000,-3322.26806640625,294.22706165840583
1320000,-3269.85888671875,311.4391378958315
1350000,-3284.8203125,303.1261388444234
1380000,-3251.39111328125,308.8512422981361
1410000,-3283.117919921875,304.729078450198
1440000,-3263.0634765625,314.0161366961666
1470000,-3323.757080078125,304.41504820084884
1500000,-3248.17138671875,304.04608162247416
1530000,-3322.89013671875,288.36780745699014
1560000,-3345.83251953125,322.35956802761916
1590000,-3301.9853515625,280.96064390557535
1620000,-3342.967041015625,311.8477037608638
1650000,-3275.378173828125,284.6303593406073
1680000,-3301.427978515625,281.57205406942796
1710000,-3302.41357421875,300.0536559489766
1740000,-3283.77734375,296.7561685772017
1770000,-3276.16015625,298.5553677693505
1800000,-3251.25439453125,305.5789418810324
1830000,-3333.319091796875,274.3320292699429
1860000,-3317.5244140625,297.15233894806977
1890000,-3314.76953125,259.7830567401703
1920000,-3293.177001953125,284.7846874932189
1950000,-3375.79638671875,281.4068919932789
1980000,-3293.08203125,309.62305073451455
2010000,-3339.404541015625,316.578949347053
2040000,-3341.005615234375,291.5491149518516
2070000,-3259.12353515625,301.5101341366406
2100000,-3277.279052734375,289.81035225058446
2130000,-3301.275634765625,261.7076448982158
2160000,-3330.191162109375,322.74281543343017
2190000,-3280.6796875,295.947151907938
2220000,-3299.77685546875,281.3540111485839
2250000,-3323.088623046875,313.2731279668361
2280000,-3248.102783203125,294.6518458051907
2310000,-3218.005126953125,302.072595571938
2340000,-3298.1064453125,298.359919555621
2370000,-3235.9853515625,305.1245603298563
2400000,-3254.7890625,314.35417897255724
